"turnover","population","distance","mall","central"
1171.64983848874,1583,3.45815291702747,"1","0"
954.040040502315,2689,1.99976918585598,"0","1"
1460.98256863609,2455,1.86199373342097,"1","0"
1613.57017239793,2333,2.5368667062372,"1","0"
699.076911358382,1154,3.85807460620999,"0","1"
739.071298908857,1919,1.5345390856266,"1","1"
1265.07671099148,2711,4.43357002958655,"1","1"
248.269876458363,1001,2.19725498966873,"0","1"
699.37654061913,2485,0.334364945441484,"0","1"
1080.99489365091,2696,2.62910195551813,"0","1"
1304.94435969462,2040,4.36428759731352,"0","0"
542.203303292961,1565,0.965326021611691,"0","1"
1415.60733508551,2912,1.73325213976204,"1","0"
1618.4562720317,3658,4.3480476912111,"1","1"
1661.99903660098,3431,0.802321815118194,"0","0"
1590.35532299924,3642,4.70715548545122,"1","1"
1217.57997543765,2743,4.35297434478998,"1","1"
884.679593718124,2052,1.65730451755226,"0","1"
888.818285246209,1562,2.05373631864786,"1","0"
1401.76475456487,3843,2.83260453529656,"1","1"
841.543844231918,1950,2.0756666585803,"1","1"
1129.84996590489,1509,4.12289560772479,"1","0"
950.506790533878,2183,1.11475569009781,"1","0"
906.215242472044,1545,2.04247950874269,"0","0"
1493.99062823575,3831,2.60627930164337,"0","1"
1739.47587785856,3301,1.56308422461152,"1","0"
1319.74281492336,2556,3.10267101563513,"0","1"
1878.69215589529,3728,4.25772294029593,"1","0"
1292.76845765783,2918,2.3631107788533,"0","1"
957.144976911124,1541,4.90624876953661,"0","1"
1107.02411505931,2355,2.35379904657602,"0","1"
969.752082795809,1661,4.781146889925,"1","1"
1439.61515759427,2457,3.16434955969453,"1","0"
531.204178392977,1689,2.05065579600632,"0","1"
759.691495428103,1490,2.63503961637616,"0","1"
1537.4979650986,2023,4.66182857044041,"1","0"
971.962900527457,1996,0.800284649431706,"1","0"
1467.42377321949,1907,4.49557870663702,"1","0"
1017.10048605719,2419,1.80232353024185,"1","1"
1101.05433004704,2458,3.96048212535679,"0","1"
1842.25962118962,3511,4.05122374519706,"1","1"
1420.98862054511,3014,3.14039368592203,"0","1"
825.476609752136,1966,2.19176061749458,"1","1"
1464.95854507943,2308,2.99668181091547,"1","0"
849.953990562833,2233,1.48870804719627,"0","1"
833.448582971479,1476,1.7443824633956,"1","0"
1108.37533489465,1596,2.80912755206227,"0","0"
1245.39184138297,3411,2.75270211547613,"0","1"
1252.1567074457,2587,1.35168888159096,"0","0"
1684.57229471304,3753,3.64150409400463,"1","1"
1151.28358562881,2175,4.70519204139709,"0","1"
759.338823971691,1560,2.05212850980461,"0","1"
1272.48712068414,2049,3.25823094770312,"1","0"
485.40857784535,1422,1.22162849605083,"1","0"
1487.073171362,2445,4.42172481901944,"1","0"
1740.50542228826,3610,3.86795100383461,"0","1"
1048.09344828017,1613,2.53610411956906,"0","0"
1114.12128987622,1678,3.82390685975552,"0","0"
995.15284244639,1590,3.27735784389079,"0","1"
444.896783950879,1623,0.991786496341228,"0","1"
1734.45115447452,2642,4.29018317908049,"1","0"
2025.27217352785,3711,3.04856064841151,"1","0"
1057.25720725747,2835,2.79729343242943,"0","1"
1209.42657541838,2613,0.747160461172462,"1","0"
2202.12751309855,3920,3.2238952960819,"1","0"
1207.60297470159,3797,0.587095842882991,"0","1"
704.294011171243,1381,0.480201844125986,"1","0"
1807.00364205664,3323,4.55628493651748,"0","0"
939.823560168207,1279,3.41662014983594,"0","0"
1787.17967237093,3936,1.41485089734197,"1","0"
1959.76785198593,3671,4.8563516240567,"0","1"
863.916723542874,2530,1.86016170978546,"0","1"
