cnt,temp,hum,windspeed,workingday,season,rentals
4694,0.723333,0.575417,0.143667,1,3,4694
3805,0.711667,0.654583,0.233208,1,3,3805
4153,0.685,0.722917,0.139308,1,3,4153
5191,0.6975,0.674167,0.104467,0,3,5191
3873,0.710833,0.77,0.248754,0,3,3873
4758,0.691667,0.47,0.27675,1,3,4758
5895,0.640833,0.455417,0.146763,1,3,5895
5130,0.673333,0.605,0.253108,1,3,5130
3542,0.684167,0.771667,0.210833,1,3,3542
4661,0.7,0.76125,0.0839625,1,3,4661
1115,0.68,0.85,0.375617,0,3,1115
4334,0.707059,0.561765,0.304659,0,3,4334
4634,0.636667,0.554583,0.159825,1,3,4634
5204,0.639167,0.548333,0.125008,1,3,5204
5058,0.656667,0.597917,0.0833333,1,3,5058
5115,0.655,0.639167,0.141796,1,3,5115
4727,0.643333,0.727083,0.139929,1,3,4727
4484,0.669167,0.716667,0.185325,0,3,4484
4940,0.709167,0.742083,0.206467,0,3,4940
3351,0.673333,0.790417,0.212696,0,3,3351
2710,0.54,0.886957,0.343943,1,3,2710
1996,0.599167,0.917083,0.0970208,1,3,1996
1842,0.633913,0.939565,0.192748,1,3,1842
3544,0.65,0.897917,0.124379,1,3,3544
5345,0.66,0.75375,0.153608,0,3,5345
5046,0.653333,0.71375,0.115054,0,3,5046
4713,0.644348,0.692174,0.088913,1,3,4713
4763,0.650833,0.7125,0.141804,1,3,4763
4785,0.673333,0.697083,0.1673,1,3,4785
3659,0.5775,0.709167,0.271146,1,3,3659
4760,0.469167,0.590417,0.164183,1,3,4760
4511,0.491667,0.718333,0.189675,0,3,4511
4274,0.5075,0.695,0.178483,0,3,4274
4539,0.549167,0.69,0.151742,1,3,4539
3641,0.561667,0.88125,0.134954,1,3,3641
4352,0.595,0.9,0.0964042,1,3,4352
4795,0.628333,0.902083,0.128125,1,3,4795
2395,0.609167,0.9725,0.0783667,1,4,2395
5423,0.606667,0.8625,0.0783833,0,4,5423
5010,0.634167,0.845,0.0503792,0,4,5010
4630,0.649167,0.848333,0.1107,1,4,4630
4120,0.636667,0.885417,0.118171,1,4,4120
3907,0.635,0.84875,0.148629,1,4,3907
4839,0.616667,0.699167,0.172883,1,4,4839
5202,0.564167,0.6475,0.206475,1,4,5202
2429,0.41,0.75375,0.292296,0,4,2429
2918,0.356667,0.791667,0.222013,0,4,2918
3570,0.384167,0.760833,0.0833458,1,4,3570
4456,0.484167,0.71,0.205854,1,4,4456
4826,0.538333,0.647917,0.17725,1,4,4826
4765,0.494167,0.620833,0.134954,1,4,4765
4985,0.510833,0.684167,0.0223917,1,4,4985
5409,0.521667,0.70125,0.0454042,0,4,5409
5511,0.540833,0.7275,0.06345,0,4,5511
5117,0.570833,0.73375,0.0423042,0,4,5117
4563,0.566667,0.80875,0.143042,1,4,4563
2416,0.543333,0.90625,0.24815,1,4,2416
2913,0.589167,0.896667,0.141787,1,4,2913
3644,0.550833,0.71625,0.223883,1,4,3644
5217,0.506667,0.483333,0.258083,0,4,5217
5041,0.511667,0.486667,0.281717,0,4,5041
4570,0.534167,0.579583,0.175379,1,4,4570
4748,0.5325,0.701667,0.110087,1,4,4748
2424,0.541739,0.895217,0.243339,1,4,2424
4195,0.475833,0.63625,0.422275,1,4,4195
4304,0.4275,0.574167,0.221396,1,4,4304
4308,0.4225,0.629167,0.0926667,0,4,4308
4381,0.421667,0.74125,0.0995125,0,4,4381
4187,0.463333,0.772083,0.118792,1,4,4187
4687,0.471667,0.622917,0.166658,1,4,4687
3894,0.484167,0.720417,0.148642,1,4,3894
2659,0.47,0.812917,0.197763,1,4,2659
3747,0.330833,0.585833,0.229479,1,4,3747
627,0.254167,0.8825,0.351371,0,4,627
3331,0.319167,0.62375,0.176617,0,4,3331
3669,0.34,0.703333,0.10635,1,4,3669
4068,0.400833,0.68375,0.135571,1,4,4068
4186,0.3775,0.71875,0.0820917,1,4,4186
3974,0.408333,0.702083,0.136817,1,4,3974
4046,0.403333,0.6225,0.271779,1,4,4046
3926,0.326667,0.519167,0.189062,0,4,3926
3649,0.348333,0.734583,0.0920542,0,4,3649
4035,0.395,0.75875,0.057225,1,4,4035
4205,0.408333,0.721667,0.0690375,1,4,4205
4109,0.4,0.758333,0.0621958,1,4,4109
2933,0.38,0.813333,0.189067,1,4,2933
3368,0.324167,0.44625,0.314675,0,4,3368
4067,0.356667,0.552917,0.212062,0,4,4067
3717,0.440833,0.458333,0.281721,0,4,3717
4486,0.53,0.587083,0.306596,1,4,4486
4195,0.53,0.68875,0.199633,1,4,4195
1817,0.456667,0.93,0.136829,1,4,1817
3053,0.341667,0.575833,0.305362,1,4,3053
3392,0.274167,0.41,0.168533,1,4,3392
3663,0.329167,0.502083,0.224496,0,4,3663
3520,0.463333,0.684583,0.18595,0,4,3520
2765,0.4475,0.91,0.138054,1,4,2765
1607,0.416667,0.9625,0.118792,1,4,1607
2566,0.440833,0.757917,0.335825,1,4,2566
1495,0.373333,0.549167,0.167304,0,4,1495
2792,0.375,0.64375,0.0988958,1,4,2792
3068,0.375833,0.681667,0.0684208,0,4,3068
3071,0.459167,0.698333,0.208954,0,4,3071
3867,0.503478,0.743043,0.142122,1,4,3867
2914,0.458333,0.830833,0.258092,1,4,2914
3613,0.325,0.613333,0.271158,1,4,3613
3727,0.3125,0.524583,0.220158,1,4,3727
3940,0.314167,0.625833,0.100754,1,4,3940
3614,0.299167,0.612917,0.0957833,0,4,3614
3485,0.330833,0.775833,0.0839583,0,4,3485
3811,0.385833,0.827083,0.0622083,1,4,3811
2594,0.4625,0.949583,0.232583,1,4,2594
705,0.41,0.970417,0.266175,1,4,705
3322,0.265833,0.58,0.240058,1,4,3322
3620,0.290833,0.695833,0.0827167,1,4,3620
3190,0.275,0.5075,0.233221,0,4,3190
2743,0.220833,0.49,0.0665417,0,4,2743
3310,0.238333,0.670833,0.06345,1,4,3310
3523,0.2825,0.59,0.14055,1,4,3523
3740,0.3175,0.66375,0.0609583,1,4,3740
3709,0.4225,0.634167,0.268042,1,4,3709
3577,0.375,0.500417,0.260575,1,4,3577
2739,0.258333,0.560833,0.243167,0,4,2739
2431,0.238333,0.58625,0.169779,0,4,2431
3403,0.276667,0.6375,0.172896,1,4,3403
3750,0.385833,0.595417,0.0615708,1,4,3750
2660,0.428333,0.858333,0.2214,1,1,2660
3068,0.423333,0.7575,0.047275,1,1,3068
2209,0.373333,0.68625,0.274246,1,1,2209
1011,0.3025,0.5425,0.190304,0,1,1011
754,0.274783,0.681304,0.155091,0,1,754
1317,0.321739,0.506957,0.239465,0,1,1317
1162,0.325,0.7625,0.18845,1,1,1162
2302,0.29913,0.50391300000000006,0.293961,1,1,2302
2423,0.248333,0.574167,0.119412,1,1,2423
2999,0.311667,0.636667,0.134337,1,1,2999
2485,0.41,0.615833,0.220154,0,1,2485
2294,0.37,0.6925,0.192167,0,1,2294
1951,0.273043,0.381304,0.329665,0,1,1951
2236,0.15,0.44125,0.365671,1,1,2236
2368,0.1075,0.414583,0.1847,1,1,2368
3272,0.265833,0.524167,0.129987,1,1,3272
4098,0.334167,0.542083,0.167908,1,1,4098
4521,0.393333,0.531667,0.174758,0,1,4521
3425,0.3375,0.465,0.191542,0,1,3425
2376,0.224167,0.701667,0.0989,1,1,2376
3598,0.308696,0.646522,0.187552,1,1,3598
2177,0.274167,0.8475,0.131221,1,1,2177
4097,0.3825,0.802917,0.180967,1,1,4097
3214,0.274167,0.5075,0.378108,1,1,3214
2493,0.18,0.4575,0.187183,0,1,2493
2311,0.166667,0.419167,0.251258,0,1,2311
2298,0.19,0.5225,0.231358,0,1,2298
2935,0.373043,0.716087,0.34913,1,1,2935
3376,0.303333,0.443333,0.415429,1,1,3376
3292,0.19,0.4975,0.220158,1,1,3292
3163,0.2175,0.45,0.20275,1,1,3163
1301,0.173333,0.83125,0.222642,0,1,1301
1977,0.1625,0.79625,0.199638,0,1,1977
2432,0.218333,0.91125,0.110708,1,1,2432
4339,0.3425,0.835833,0.123767,1,1,4339
4270,0.294167,0.64375,0.161071,1,1,4270
4075,0.341667,0.769583,0.0733958,1,1,4075
3456,0.425,0.74125,0.342667,1,1,3456
4023,0.315833,0.543333,0.210829,0,1,4023
3243,0.2825,0.31125,0.24005,0,1,3243
3624,0.269167,0.400833,0.215792,1,1,3624
4509,0.39,0.416667,0.261817,1,1,4509
4579,0.469167,0.507917,0.189067,1,1,4579
3761,0.399167,0.672917,0.187187,1,1,3761
4151,0.313333,0.526667,0.178496,1,1,4151
2832,0.264167,0.779583,0.121896,0,1,2832
2947,0.265833,0.687917,0.175996,0,1,2947
3784,0.282609,0.622174,0.1538,1,1,3784
4375,0.354167,0.49625,0.147379,1,1,4375
2802,0.256667,0.722917,0.133721,1,1,2802
3830,0.265,0.562083,0.194037,1,1,3830
3831,0.280833,0.54,0.116929,1,1,3831
2169,0.224167,0.73125,0.289796,0,1,2169
1529,0.1275,0.464583,0.409212,0,1,1529
3422,0.2225,0.41125,0.167283,1,1,3422
3922,0.319167,0.50875,0.141179,1,1,3922
4169,0.348333,0.53125,0.1816,1,1,4169
3005,0.316667,0.752917,0.091425,1,1,3005
4154,0.343333,0.634583,0.205846,1,1,4154
4318,0.346667,0.534583,0.190929,0,1,4318
2689,0.28,0.515833,0.253112,0,1,2689
3129,0.28,0.507826,0.229083,0,1,3129
3777,0.287826,0.594348,0.205717,1,1,3777
4773,0.395833,0.567917,0.234471,1,1,4773
5062,0.454167,0.554583,0.190913,1,1,5062
3487,0.4075,0.7375,0.237567,1,1,3487
2732,0.290833,0.395833,0.421642,0,1,2732
3389,0.279167,0.41,0.205229,0,1,3389
4322,0.366667,0.490833,0.268033,1,1,4322
4363,0.359167,0.395833,0.193417,1,1,4363
1834,0.344348,0.804783,0.179117,1,1,1834
4990,0.485833,0.615417,0.226987,1,1,4990
3194,0.353333,0.657083,0.144904,1,1,3194
4066,0.414167,0.62125,0.161079,0,1,4066
3423,0.325833,0.403333,0.334571,0,1,3423
3333,0.243333,0.50625,0.228858,1,1,3333
3956,0.258333,0.456667,0.200875,1,1,3956
4916,0.404167,0.513333,0.345779,1,1,4916
5382,0.5275,0.5675,0.441563,1,1,5382
4569,0.410833,0.407083,0.4148,1,1,4569
4118,0.2875,0.350417,0.22575,0,1,4118
4911,0.361739,0.476957,0.222587,0,1,4911
5298,0.466667,0.489167,0.207713,1,1,5298
5847,0.565,0.6175,0.23695,1,1,5847
6312,0.5725,0.507083,0.115062,1,1,6312
6192,0.5575,0.579583,0.149883,1,1,6192
4378,0.435833,0.842083,0.113192,1,1,4378
7836,0.514167,0.755833,0.110704,0,1,7836
5892,0.4725,0.81,0.126883,0,1,5892
6153,0.545,0.72875,0.162317,1,1,6153
6093,0.560833,0.807917,0.121271,1,1,6093
6230,0.531667,0.82125,0.0895583,1,2,6230
6871,0.554167,0.83125,0.117562,1,2,6871
8362,0.601667,0.694167,0.1163,1,2,8362
3372,0.5025,0.885417,0.192783,0,2,3372
4996,0.4375,0.880833,0.220775,0,2,4996
5558,0.445833,0.477917,0.386821,1,2,5558
5102,0.323333,0.29,0.187192,1,2,5102
5698,0.484167,0.48125,0.291671,1,2,5698
6133,0.494167,0.439167,0.31965,1,2,6133
5459,0.37,0.580833,0.138067,1,2,5459
6235,0.424167,0.738333,0.250617,0,2,6235
6041,0.425833,0.67625,0.172267,0,2,6041
5936,0.433913,0.504348,0.312139,1,2,5936
6772,0.466667,0.396667,0.100133,1,2,6772
6436,0.541667,0.469583,0.180975,1,2,6436
6457,0.435,0.374167,0.219529,1,2,6457
6460,0.403333,0.377083,0.300388,1,2,6460
6857,0.4375,0.254167,0.274871,0,2,6857
5169,0.5,0.275833,0.232596,0,2,5169
5585,0.489167,0.3175,0.358196,1,2,5585
5918,0.446667,0.435,0.249375,1,2,5918
4862,0.348696,0.469565,0.295274,1,2,4862
5409,0.3975,0.46625,0.290429,1,2,5409
6398,0.4425,0.408333,0.155471,1,2,6398
7460,0.495,0.502917,0.190917,0,2,7460
7132,0.606667,0.507917,0.225129,0,2,7132
6370,0.664167,0.561667,0.284829,0,2,6370
6691,0.608333,0.390417,0.273629,1,2,6691
4367,0.463333,0.569167,0.167912,1,2,4367
6565,0.498333,0.6125,0.0659292,1,2,6565
7290,0.526667,0.694583,0.149871,1,2,7290
6624,0.57,0.682917,0.283587,0,2,6624
1027,0.396667,0.835417,0.344546,0,2,1027
3214,0.321667,0.766667,0.303496,1,2,3214
5633,0.413333,0.454167,0.249383,1,2,5633
6196,0.476667,0.427917,0.118792,1,2,6196
5026,0.498333,0.756667,0.176625,1,2,5026
6233,0.4575,0.400833,0.347633,1,2,6233
4220,0.376667,0.489583,0.129975,0,2,4220
6304,0.458333,0.587083,0.116908,0,2,6304
5572,0.464167,0.57,0.171638,1,2,5572
5740,0.613333,0.659583,0.156096,1,2,5740
6169,0.564167,0.797083,0.138058,1,2,6169
6421,0.56,0.768333,0.133696,1,2,6421
6296,0.6275,0.735417,0.162938,1,2,6296
6883,0.621667,0.756667,0.152992,0,2,6883
6359,0.5625,0.74,0.149879,0,2,6359
6273,0.5375,0.664167,0.230721,1,2,6273
5728,0.581667,0.685833,0.296029,1,2,5728
4717,0.575,0.744167,0.216412,1,2,4717
6572,0.505833,0.552083,0.314063,1,2,6572
7030,0.533333,0.360417,0.236937,1,2,7030
7429,0.564167,0.480417,0.123133,0,2,7429
6118,0.6125,0.57625,0.225117,0,2,6118
2843,0.573333,0.789583,0.212692,1,2,2843
5115,0.611667,0.794583,0.147392,1,2,5115
7424,0.636667,0.697917,0.122512,1,2,7424
7384,0.593333,0.52,0.229475,1,2,7384
7639,0.564167,0.523333,0.136817,1,2,7639
8294,0.6,0.45625,0.083975,0,2,8294
7129,0.620833,0.530417,0.254367,0,2,7129
4359,0.598333,0.81125,0.233204,1,2,4359
6073,0.615,0.765833,0.118167,1,2,6073
5260,0.621667,0.774583,0.102,1,2,5260
6770,0.655,0.716667,0.172896,1,2,6770
6734,0.68,0.747083,0.14055,1,2,6734
6536,0.6925,0.7325,0.198992,0,2,6536
6591,0.69,0.697083,0.215171,0,2,6591
6043,0.7125,0.67625,0.196521,0,2,6043
5743,0.7225,0.684583,0.2954,1,2,5743
6855,0.656667,0.67,0.134329,1,2,6855
7338,0.68,0.492917,0.195279,1,2,7338
4127,0.654167,0.755417,0.237563,1,2,4127
8120,0.583333,0.549167,0.186562,0,2,8120
7641,0.6025,0.493333,0.184087,0,2,7641
6998,0.5975,0.487083,0.284833,1,2,6998
7001,0.540833,0.613333,0.209575,1,2,7001
7055,0.554167,0.61125,0.077125,1,2,7055
7494,0.6025,0.567083,0.15735,1,2,7494
7736,0.649167,0.467917,0.175383,1,2,7736
7498,0.710833,0.437083,0.144287,0,2,7498
6598,0.726667,0.538333,0.133721,0,2,6598
6664,0.720833,0.587917,0.207713,1,2,6664
4972,0.653333,0.833333,0.214546,1,2,4972
7421,0.655833,0.582083,0.343279,1,2,7421
7363,0.648333,0.569583,0.253733,1,2,7363
7665,0.639167,0.589583,0.176617,1,2,7665
7702,0.631667,0.504167,0.166667,0,2,7702
6978,0.5925,0.59875,0.144904,0,2,6978
5099,0.568333,0.777917,0.174746,1,2,5099
6825,0.688333,0.69,0.148017,1,2,6825
6211,0.7825,0.592083,0.113812,1,2,6211
5905,0.805833,0.567917,0.118787,1,3,5905
5823,0.7775,0.57375,0.182842,1,3,5823
7458,0.731667,0.534583,0.179721,0,3,7458
6891,0.743333,0.479167,0.145525,0,3,6891
6779,0.715833,0.504167,0.300383,1,3,6779
7442,0.630833,0.373333,0.347642,1,3,7442
7335,0.6975,0.36,0.271775,1,3,7335
6879,0.749167,0.4225,0.17165,1,3,6879
5463,0.834167,0.48875,0.165417,1,3,5463
5687,0.765,0.60125,0.161071,0,3,5687
5531,0.815833,0.51875,0.168529,0,3,5531
6227,0.781667,0.447083,0.195267,1,3,6227
6660,0.780833,0.492083,0.126237,1,3,6660
7403,0.789167,0.53875,0.13495,0,3,7403
6241,0.8275,0.457917,0.194029,1,3,6241
6207,0.828333,0.450833,0.146142,1,3,6207
4840,0.861667,0.492083,0.163554,0,3,4840
4672,0.8225,0.57375,0.125629,0,3,4672
6569,0.710833,0.683333,0.180975,1,3,6569
6290,0.720833,0.6675,0.151737,1,3,6290
7264,0.716667,0.633333,0.151733,1,3,7264
7446,0.715833,0.529583,0.146775,1,3,7446
7499,0.731667,0.485833,0.08085,1,3,7499
6969,0.703333,0.699167,0.143679,0,3,6969
6031,0.745833,0.717917,0.166667,0,3,6031
